chrom	start	end	region	coverage	sample
MN908947.3	11000	11414	SARS-CoV-2_37	248	4676
MN908947.3	11305	11720	SARS-CoV-2_38	412	4676
MN908947.3	11624	12033	SARS-CoV-2_39	6	4676
MN908947.3	11937	12339	SARS-CoV-2_40	195	4676
MN908947.3	12234	12643	SARS-CoV-2_41	7989	4676
MN908947.3	12519	12920	SARS-CoV-2_42	1824	4676
MN908947.3	12831	13240	SARS-CoV-2_43	512	4676
MN908947.3	13124	13528	SARS-CoV-2_44	2098	4676
MN908947.3	13463	13859	SARS-CoV-2_45	2209	4676
MN908947.3	13752	14144	SARS-CoV-2_46	356	4676
MN908947.3	14045	14457	SARS-CoV-2_47	20	4676
MN908947.3	14338	14743	SARS-CoV-2_48	3	4676
MN908947.3	14647	15050	SARS-CoV-2_49	117	4676
MN908947.3	14953	15358	SARS-CoV-2_50	122	4676
MN908947.3	15214	15619	SARS-CoV-2_51	32	4676
MN908947.3	15535	15941	SARS-CoV-2_52	34	4676
MN908947.3	15855	16260	SARS-CoV-2_53	36	4676
MN908947.3	16112	16508	SARS-CoV-2_54	995	4676
MN908947.3	16386	16796	SARS-CoV-2_55	4821	4676
MN908947.3	16692	17105	SARS-CoV-2_56	6023	4676
MN908947.3	16986	17405	SARS-CoV-2_57	213	4676
MN908947.3	17323	17711	SARS-CoV-2_58	215	4676
MN908947.3	17615	18022	SARS-CoV-2_59	1899	4676
MN908947.3	17911	18328	SARS-CoV-2_60	603	4676
MN908947.3	18244	18652	SARS-CoV-2_61	476	4676
MN908947.3	18550	18961	SARS-CoV-2_62	17	4676
MN908947.3	18869	19277	SARS-CoV-2_63	54	4676
MN908947.3	19183	19586	SARS-CoV-2_64	0	4676
MN908947.3	19485	19901	SARS-CoV-2_65	562	4676
MN908947.3	19810	20216	SARS-CoV-2_66	1821	4676
MN908947.3	20090	20497	SARS-CoV-2_67	455	4676
MN908947.3	20377	20792	SARS-CoV-2_68	972	4676
MN908947.3	20677	21080	SARS-CoV-2_69	0	4676
MN908947.3	20988	21387	SARS-CoV-2_70	5	4676
MN908947.3	21294	21700	SARS-CoV-2_71	442	4676
MN908947.3	21532	21933	SARS-CoV-2_72	26	4676
MN908947.3	21865	22274	SARS-CoV-2_73	191	4676
MN908947.3	22091	22503	SARS-CoV-2_74	192	4676
MN908947.3	22402	22805	SARS-CoV-2_75	126	4676
MN908947.3	22648	23057	SARS-CoV-2_76	72	4676
MN908947.3	22944	23351	SARS-CoV-2_77	10	4676
MN908947.3	23219	23635	SARS-CoV-2_78	42	4676
MN908947.3	23553	23955	SARS-CoV-2_79	812	4676
MN908947.3	23853	24258	SARS-CoV-2_80	34	4676
MN908947.3	24171	24567	SARS-CoV-2_81	328	4676
MN908947.3	24426	24836	SARS-CoV-2_82	622	4676
MN908947.3	24750	25150	SARS-CoV-2_83	0	4676
MN908947.3	25051	25461	SARS-CoV-2_84	10	4676
MN908947.3	25331	25740	SARS-CoV-2_85	174	4676
MN908947.3	25645	26050	SARS-CoV-2_86	0	4676
MN908947.3	25951	26360	SARS-CoV-2_87	1	4676
MN908947.3	26255	26661	SARS-CoV-2_88	47	4676
MN908947.3	26564	26979	SARS-CoV-2_89	5208	4676
MN908947.3	26873	27283	SARS-CoV-2_90	2281	4676
MN908947.3	27152	27560	SARS-CoV-2_91	264	4676
MN908947.3	27447	27855	SARS-CoV-2_92	4312	4676
MN908947.3	27700	28104	SARS-CoV-2_93	588	4676
MN908947.3	27996	28416	SARS-CoV-2_94	595	4676
MN908947.3	28190	28598	SARS-CoV-2_95	418	4676
MN908947.3	28512	28914	SARS-CoV-2_96	219	4676
MN908947.3	28827	29227	SARS-CoV-2_97	1479	4676
MN908947.3	29136	29534	SARS-CoV-2_98	164	4676
MN908947.3	29452	29854	SARS-CoV-2_99	3625	4676
