chrom	start	end	region	coverage	sample
MN908947.3	19485	19901	SARS-CoV-2_65	0	4535
MN908947.3	19810	20216	SARS-CoV-2_66	2988	4535
MN908947.3	20090	20497	SARS-CoV-2_67	0	4535
MN908947.3	20377	20792	SARS-CoV-2_68	2	4535
MN908947.3	20677	21080	SARS-CoV-2_69	2	4535
MN908947.3	20988	21387	SARS-CoV-2_70	2	4535
MN908947.3	21294	21700	SARS-CoV-2_71	10	4535
MN908947.3	21532	21933	SARS-CoV-2_72	0	4535
MN908947.3	21865	22274	SARS-CoV-2_73	0	4535
MN908947.3	22091	22503	SARS-CoV-2_74	52	4535
MN908947.3	22402	22805	SARS-CoV-2_75	0	4535
MN908947.3	22648	23057	SARS-CoV-2_76	2	4535
MN908947.3	22944	23351	SARS-CoV-2_77	0	4535
MN908947.3	23219	23635	SARS-CoV-2_78	2	4535
MN908947.3	23553	23955	SARS-CoV-2_79	0	4535
MN908947.3	23853	24258	SARS-CoV-2_80	0	4535
MN908947.3	24171	24567	SARS-CoV-2_81	0	4535
MN908947.3	24426	24836	SARS-CoV-2_82	0	4535
MN908947.3	24750	25150	SARS-CoV-2_83	0	4535
MN908947.3	25051	25461	SARS-CoV-2_84	0	4535
MN908947.3	25331	25740	SARS-CoV-2_85	1197	4535
MN908947.3	25645	26050	SARS-CoV-2_86	2	4535
MN908947.3	25951	26360	SARS-CoV-2_87	3	4535
MN908947.3	26255	26661	SARS-CoV-2_88	3	4535
MN908947.3	26564	26979	SARS-CoV-2_89	2	4535
MN908947.3	26873	27283	SARS-CoV-2_90	0	4535
MN908947.3	27152	27560	SARS-CoV-2_91	0	4535
MN908947.3	27447	27855	SARS-CoV-2_92	0	4535
MN908947.3	27700	28104	SARS-CoV-2_93	4	4535
MN908947.3	27996	28416	SARS-CoV-2_94	8297	4535
MN908947.3	28190	28598	SARS-CoV-2_95	7771	4535
MN908947.3	28512	28914	SARS-CoV-2_96	1423	4535
MN908947.3	28827	29227	SARS-CoV-2_97	4	4535
MN908947.3	29136	29534	SARS-CoV-2_98	39	4535
MN908947.3	29452	29854	SARS-CoV-2_99	2588	4535
